itopic,narticles,i,topicname
0,320,18,opinions
1,209,16,jobs/companies
2,185,1,intro to predictive modeling
3,182,0,data science career/programs
4,181,17,code examples
5,177,2,learn machine learning
6,166,9,deep learning/neural network
7,115,4,big data conferneces/businesses
8,103,3,python/R programming languages
9,102,12,stats/probability
10,89,10,books
11,84,7,algorithm examples
12,83,13,sports analytics
13,76,11,business analytics
14,51,14,algorithms: intro and application
15,47,19,ipython notebook & IDE tutorials
16,46,15,competitions
17,44,5,tweets
18,38,8,significant digits
19,38,6,spark/big data
